photo_id,confirmation_id,visit_id,store_id,campaign_id,photo_proof_url,photo_timestamp,photo_gps_coordinates,photo_user_id,photo_device_id,photo_type,photo_validation_status,photo_validation_reason
PH-026-V-013-S-092,CONF-013-S-092-PEACH-001,V-013-S-092,S-092,C-2026-PEACH,photos/PH-026-V-013-S-092.jpg,2026-07-01T16:15:00-04:00,"26.3313,-92.2623",REP-007,TAB-007,posm_deployment,passed,
PH-027-V-013-S-092,CONF-013-S-092-PEACH-001,V-013-S-092,S-092,C-2026-PEACH,photos/PH-027-V-013-S-092.jpg,2026-07-01T17:15:00-04:00,"25.6795,-89.5647",REP-010,TAB-015,pricing,passed,
PH-028-V-015-S-092,CONF-015-S-092-PEACH-003,V-015-S-092,S-092,C-2026-PEACH,photos/PH-028-V-015-S-092.jpg,2026-07-07T09:00:00-04:00,"40.9251,-100.1913",REP-014,TAB-007,pricing,passed,
PH-029-V-015-S-092,CONF-015-S-092-PEACH-003,V-015-S-092,S-092,C-2026-PEACH,photos/PH-029-V-015-S-092.jpg,2026-07-07T16:00:00-04:00,"46.4936,-85.7202",REP-014,TAB-018,store_front,passed,
PH-030-V-015-S-092,CONF-015-S-092-PEACH-003,V-015-S-092,S-092,C-2026-PEACH,photos/PH-030-V-015-S-092.jpg,2026-07-07T14:00:00-04:00,"25.3167,-81.2483",REP-006,TAB-016,store_front,passed,
PH-031-V-017-S-092,CONF-017-S-092-PEACH-005,V-017-S-092,S-092,C-2026-PEACH,photos/PH-031-V-017-S-092.jpg,2026-07-06T13:00:00-04:00,"37.5189,-106.687",REP-014,TAB-018,posm_deployment,passed,
PH-032-V-017-S-092,CONF-017-S-092-PEACH-005,V-017-S-092,S-092,C-2026-PEACH,photos/PH-032-V-017-S-092.jpg,2026-07-06T12:00:00-04:00,"38.726,-112.1609",REP-015,TAB-020,pricing,passed,
PH-033-V-019-S-092,CONF-019-S-092-PEACH-007,V-019-S-092,S-092,C-2026-PEACH,photos/PH-033-V-019-S-092.jpg,2026-07-03T17:30:00-04:00,"31.0813,-83.756",REP-009,TAB-009,store_front,passed,
PH-034-V-020-S-092,CONF-020-S-092-PEACH-008,V-020-S-092,S-092,C-2026-PEACH,photos/PH-034-V-020-S-092.jpg,2026-07-01T16:15:00-04:00,"43.3617,-106.4137",REP-007,TAB-009,pricing,passed,
PH-035-V-021-S-092,CONF-021-S-092-PEACH-009,V-021-S-092,S-092,C-2026-PEACH,photos/PH-035-V-021-S-092.jpg,2026-07-02T18:15:00-04:00,"46.1126,-97.1065",REP-013,TAB-002,shelf_display,passed,
PH-036-V-021-S-092,CONF-021-S-092-PEACH-009,V-021-S-092,S-092,C-2026-PEACH,photos/PH-036-V-021-S-092.jpg,2026-07-02T08:45:00-04:00,"26.6156,-70.2088",REP-014,TAB-014,planogram,passed,
PH-037-V-021-S-092,CONF-021-S-092-PEACH-009,V-021-S-092,S-092,C-2026-PEACH,photos/PH-037-V-021-S-092.jpg,2026-07-02T17:45:00-04:00,"46.2037,-89.708",REP-010,TAB-008,posm_deployment,passed,
PH-038-V-022-S-092,CONF-022-S-092-PEACH-010,V-022-S-092,S-092,C-2026-PEACH,photos/PH-038-V-022-S-092.jpg,2026-07-14T18:30:00-04:00,"29.8679,-93.7981",REP-008,TAB-015,posm_deployment,passed,
PH-039-V-023-S-092,CONF-023-S-092-PEACH-011,V-023-S-092,S-092,C-2026-PEACH,photos/PH-039-V-023-S-092.jpg,2026-07-02T15:00:00-04:00,"32.6736,-72.2659",REP-008,TAB-015,shelf_display,failed,no GPS coordinates captured
PH-040-V-023-S-092,CONF-023-S-092-PEACH-011,V-023-S-092,S-092,C-2026-PEACH,photos/PH-040-V-023-S-092.jpg,2026-07-02T09:45:00-04:00,"31.5252,-111.6456",REP-011,TAB-013,shelf_display,passed,
PH-041-V-023-S-092,CONF-023-S-092-PEACH-011,V-023-S-092,S-092,C-2026-PEACH,photos/PH-041-V-023-S-092.jpg,2026-07-02T12:15:00-04:00,"38.6666,-106.2228",REP-007,TAB-004,pricing,passed,
PH-042-V-023-S-092,CONF-023-S-092-PEACH-011,V-023-S-092,S-092,C-2026-PEACH,photos/PH-042-V-023-S-092.jpg,2026-07-02T08:30:00-04:00,"28.6581,-108.6984",REP-016,TAB-014,pricing,passed,
PH-043-V-024-S-092,CONF-024-S-092-PEACH-012,V-024-S-092,S-092,C-2026-PEACH,photos/PH-043-V-024-S-092.jpg,2026-07-05T12:45:00-04:00,"46.1965,-97.9734",REP-009,TAB-001,posm_deployment,passed,
PH-044-V-024-S-092,CONF-024-S-092-PEACH-012,V-024-S-092,S-092,C-2026-PEACH,photos/PH-044-V-024-S-092.jpg,2026-07-05T14:15:00-04:00,"35.3275,-99.6859",REP-004,TAB-020,store_front,passed,
PH-045-V-024-S-092,CONF-024-S-092-PEACH-012,V-024-S-092,S-092,C-2026-PEACH,photos/PH-045-V-024-S-092.jpg,2026-07-05T14:30:00-04:00,"36.753,-104.1694",REP-005,TAB-011,planogram,passed,
PH-046-V-025-S-067,CONF-025-S-067-PEACH-001,V-025-S-067,S-067,C-2026-PEACH,photos/PH-046-V-025-S-067.jpg,2026-07-07T14:45:00-05:00,"32.6843,-80.5876",REP-006,TAB-020,shelf_display,passed,
PH-047-V-025-S-067,CONF-025-S-067-PEACH-001,V-025-S-067,S-067,C-2026-PEACH,photos/PH-047-V-025-S-067.jpg,2026-07-07T10:45:00-05:00,"26.2611,-96.8388",REP-016,TAB-020,planogram,passed,
PH-048-V-025-S-067,CONF-025-S-067-PEACH-001,V-025-S-067,S-067,C-2026-PEACH,photos/PH-048-V-025-S-067.jpg,2026-07-07T12:00:00-05:00,"27.2745,-70.5472",REP-008,TAB-017,shelf_display,failed,no GPS coordinates captured
PH-049-V-026-S-067,CONF-026-S-067-PEACH-002,V-026-S-067,S-067,C-2026-PEACH,photos/PH-049-V-026-S-067.jpg,2026-07-03T11:15:00-05:00,"40.4312,-93.7193",REP-007,TAB-018,store_front,passed,
PH-050-V-026-S-067,CONF-026-S-067-PEACH-002,V-026-S-067,S-067,C-2026-PEACH,photos/PH-050-V-026-S-067.jpg,2026-07-03T12:45:00-05:00,"28.17,-102.0924",REP-014,TAB-006,store_front,passed,
PH-051-V-027-S-067,CONF-027-S-067-PEACH-003,V-027-S-067,S-067,C-2026-PEACH,photos/PH-051-V-027-S-067.jpg,2026-07-02T13:45:00-05:00,"26.3891,-101.9799",REP-009,TAB-018,posm_deployment,passed,
PH-052-V-027-S-067,CONF-027-S-067-PEACH-003,V-027-S-067,S-067,C-2026-PEACH,photos/PH-052-V-027-S-067.jpg,2026-07-02T09:30:00-05:00,"32.1796,-95.4694",REP-006,TAB-014,shelf_display,passed,
PH-053-V-027-S-067,CONF-027-S-067-PEACH-003,V-027-S-067,S-067,C-2026-PEACH,photos/PH-053-V-027-S-067.jpg,2026-07-02T14:00:00-05:00,"39.4186,-119.7966",REP-002,TAB-003,shelf_display,passed,
PH-054-V-027-S-067,CONF-027-S-067-PEACH-003,V-027-S-067,S-067,C-2026-PEACH,photos/PH-054-V-027-S-067.jpg,2026-07-02T14:00:00-05:00,"34.4896,-105.7316",REP-014,TAB-003,planogram,passed,
PH-055-V-028-S-067,CONF-028-S-067-PEACH-004,V-028-S-067,S-067,C-2026-PEACH,photos/PH-055-V-028-S-067.jpg,2026-07-01T17:00:00-05:00,"44.7144,-119.6823",REP-014,TAB-013,planogram,passed,
PH-056-V-029-S-067,CONF-029-S-067-PEACH-005,V-029-S-067,S-067,C-2026-PEACH,photos/PH-056-V-029-S-067.jpg,2026-07-07T11:00:00-05:00,"46.6837,-73.2254",REP-002,TAB-004,pricing,passed,
PH-057-V-029-S-067,CONF-029-S-067-PEACH-005,V-029-S-067,S-067,C-2026-PEACH,photos/PH-057-V-029-S-067.jpg,2026-07-07T10:45:00-05:00,"44.9936,-77.2894",REP-010,TAB-006,posm_deployment,passed,
PH-058-V-029-S-067,CONF-029-S-067-PEACH-005,V-029-S-067,S-067,C-2026-PEACH,photos/PH-058-V-029-S-067.jpg,2026-07-07T10:30:00-05:00,"32.2402,-78.9328",REP-015,TAB-007,posm_deployment,passed,
PH-059-V-030-S-067,CONF-030-S-067-PEACH-006,V-030-S-067,S-067,C-2026-PEACH,photos/PH-059-V-030-S-067.jpg,2026-07-08T14:00:00-05:00,"34.4683,-100.1582",REP-002,TAB-015,posm_deployment,passed,
PH-060-V-030-S-067,CONF-030-S-067-PEACH-006,V-030-S-067,S-067,C-2026-PEACH,photos/PH-060-V-030-S-067.jpg,2026-07-08T09:00:00-05:00,"40.6114,-99.7992",REP-016,TAB-003,shelf_display,passed,
PH-061-V-031-S-067,CONF-031-S-067-PEACH-007,V-031-S-067,S-067,C-2026-PEACH,photos/PH-061-V-031-S-067.jpg,2026-07-08T14:30:00-05:00,"33.2248,-72.4764",REP-006,TAB-005,pricing,failed,no timestamp recorded
PH-062-V-031-S-067,CONF-031-S-067-PEACH-007,V-031-S-067,S-067,C-2026-PEACH,photos/PH-062-V-031-S-067.jpg,2026-07-08T12:30:00-05:00,"45.8876,-107.1382",REP-014,TAB-011,shelf_display,passed,
PH-063-V-031-S-067,CONF-031-S-067-PEACH-007,V-031-S-067,S-067,C-2026-PEACH,photos/PH-063-V-031-S-067.jpg,2026-07-08T08:30:00-05:00,"40.4952,-74.273",REP-007,TAB-010,pricing,passed,
PH-064-V-032-S-067,CONF-032-S-067-PEACH-008,V-032-S-067,S-067,C-2026-PEACH,photos/PH-064-V-032-S-067.jpg,2026-07-03T16:30:00-05:00,"47.9073,-119.2563",REP-012,TAB-007,store_front,passed,
PH-065-V-032-S-067,CONF-032-S-067-PEACH-008,V-032-S-067,S-067,C-2026-PEACH,photos/PH-065-V-032-S-067.jpg,2026-07-03T18:45:00-05:00,"36.4663,-102.0425",REP-011,TAB-019,shelf_display,passed,
PH-066-V-032-S-067,CONF-032-S-067-PEACH-008,V-032-S-067,S-067,C-2026-PEACH,photos/PH-066-V-032-S-067.jpg,2026-07-03T13:15:00-05:00,"41.6437,-86.3447",REP-006,TAB-008,posm_deployment,passed,
PH-067-V-033-S-067,CONF-033-S-067-PEACH-009,V-033-S-067,S-067,C-2026-PEACH,photos/PH-067-V-033-S-067.jpg,2026-07-01T08:15:00-05:00,"46.6527,-83.5733",REP-005,TAB-020,pricing,passed,
PH-068-V-034-S-067,CONF-034-S-067-PEACH-010,V-034-S-067,S-067,C-2026-PEACH,photos/PH-068-V-034-S-067.jpg,2026-07-05T10:30:00-05:00,"42.8144,-108.6368",REP-012,TAB-015,store_front,passed,
PH-069-V-034-S-067,CONF-034-S-067-PEACH-010,V-034-S-067,S-067,C-2026-PEACH,photos/PH-069-V-034-S-067.jpg,2026-07-05T18:30:00-05:00,"46.1355,-95.0557",REP-002,TAB-010,pricing,passed,
PH-070-V-034-S-067,CONF-034-S-067-PEACH-010,V-034-S-067,S-067,C-2026-PEACH,photos/PH-070-V-034-S-067.jpg,2026-07-05T14:30:00-05:00,"27.978,-88.1855",REP-016,TAB-005,store_front,passed,
PH-071-V-035-S-067,CONF-035-S-067-PEACH-011,V-035-S-067,S-067,C-2026-PEACH,photos/PH-071-V-035-S-067.jpg,2026-07-04T18:00:00-05:00,"43.287,-99.4964",REP-001,TAB-002,store_front,passed,
PH-072-V-035-S-067,CONF-035-S-067-PEACH-011,V-035-S-067,S-067,C-2026-PEACH,photos/PH-072-V-035-S-067.jpg,2026-07-04T10:15:00-05:00,"37.8578,-105.4216",REP-008,TAB-003,pricing,passed,
PH-073-V-035-S-067,CONF-035-S-067-PEACH-011,V-035-S-067,S-067,C-2026-PEACH,photos/PH-073-V-035-S-067.jpg,2026-07-04T10:45:00-05:00,"28.0161,-113.5662",REP-012,TAB-017,planogram,passed,
PH-074-V-036-S-067,CONF-036-S-067-PEACH-012,V-036-S-067,S-067,C-2026-PEACH,photos/PH-074-V-036-S-067.jpg,2026-07-05T10:30:00-05:00,"26.1572,-74.0109",REP-003,TAB-001,planogram,passed,
PH-075-V-036-S-067,CONF-036-S-067-PEACH-012,V-036-S-067,S-067,C-2026-PEACH,photos/PH-075-V-036-S-067.jpg,2026-07-05T09:30:00-05:00,"35.8002,-91.3512",REP-009,TAB-008,planogram,passed,
PH-076-V-036-S-067,CONF-036-S-067-PEACH-012,V-036-S-067,S-067,C-2026-PEACH,photos/PH-076-V-036-S-067.jpg,2026-07-05T09:15:00-05:00,"33.0671,-101.0547",REP-008,TAB-010,shelf_display,passed,
PH-077-V-036-S-067,CONF-036-S-067-PEACH-012,V-036-S-067,S-067,C-2026-PEACH,photos/PH-077-V-036-S-067.jpg,2026-07-05T15:00:00-05:00,"31.3304,-84.1639",REP-001,TAB-014,shelf_display,passed,
PH-078-V-038-S-016,CONF-038-S-016-PEACH-002,V-038-S-016,S-016,C-2026-PEACH,photos/PH-078-V-038-S-016.jpg,2026-07-07T15:30:00-05:00,"31.7266,-103.8661",REP-011,TAB-020,posm_deployment,passed,
PH-079-V-038-S-016,CONF-038-S-016-PEACH-002,V-038-S-016,S-016,C-2026-PEACH,photos/PH-079-V-038-S-016.jpg,2026-07-07T09:15:00-05:00,"29.8132,-85.4515",REP-006,TAB-003,posm_deployment,passed,
PH-080-V-038-S-016,CONF-038-S-016-PEACH-002,V-038-S-016,S-016,C-2026-PEACH,photos/PH-080-V-038-S-016.jpg,2026-07-07T10:00:00-05:00,"29.1972,-104.5716",REP-003,TAB-011,planogram,passed,
PH-081-V-039-S-016,CONF-039-S-016-PEACH-003,V-039-S-016,S-016,C-2026-PEACH,photos/PH-081-V-039-S-016.jpg,2026-07-01T15:45:00-05:00,"36.6201,-109.1295",REP-002,TAB-016,posm_deployment,passed,
PH-082-V-039-S-016,CONF-039-S-016-PEACH-003,V-039-S-016,S-016,C-2026-PEACH,photos/PH-082-V-039-S-016.jpg,2026-07-01T13:00:00-05:00,"25.65,-118.7431",REP-013,TAB-005,pricing,passed,
PH-083-V-039-S-016,CONF-039-S-016-PEACH-003,V-039-S-016,S-016,C-2026-PEACH,photos/PH-083-V-039-S-016.jpg,2026-07-01T12:15:00-05:00,"29.2666,-99.7668",REP-005,TAB-014,planogram,passed,
PH-084-V-039-S-016,CONF-039-S-016-PEACH-003,V-039-S-016,S-016,C-2026-PEACH,photos/PH-084-V-039-S-016.jpg,2026-07-01T17:00:00-05:00,"25.0763,-81.5503",REP-009,TAB-016,posm_deployment,passed,
PH-085-V-040-S-016,CONF-040-S-016-PEACH-004,V-040-S-016,S-016,C-2026-PEACH,photos/PH-085-V-040-S-016.jpg,2026-07-03T18:30:00-05:00,"46.266,-95.0621",REP-006,TAB-007,store_front,passed,
PH-086-V-040-S-016,CONF-040-S-016-PEACH-004,V-040-S-016,S-016,C-2026-PEACH,photos/PH-086-V-040-S-016.jpg,2026-07-03T14:00:00-05:00,"34.9971,-78.2833",REP-010,TAB-012,planogram,passed,
PH-087-V-041-S-016,CONF-041-S-016-PEACH-005,V-041-S-016,S-016,C-2026-PEACH,photos/PH-087-V-041-S-016.jpg,2026-07-05T17:15:00-05:00,"46.0331,-97.3813",REP-006,TAB-013,shelf_display,passed,
PH-088-V-041-S-016,CONF-041-S-016-PEACH-005,V-041-S-016,S-016,C-2026-PEACH,photos/PH-088-V-041-S-016.jpg,2026-07-05T13:00:00-05:00,"25.4107,-99.0295",REP-011,TAB-020,store_front,passed,
PH-089-V-042-S-016,CONF-042-S-016-PEACH-007,V-042-S-016,S-016,C-2026-PEACH,photos/PH-089-V-042-S-016.jpg,2026-07-07T15:00:00-05:00,"35.2657,-79.9522",REP-012,TAB-011,shelf_display,passed,
PH-090-V-042-S-016,CONF-042-S-016-PEACH-007,V-042-S-016,S-016,C-2026-PEACH,photos/PH-090-V-042-S-016.jpg,2026-07-07T15:15:00-05:00,"29.7099,-71.1991",REP-003,TAB-007,planogram,passed,
PH-091-V-042-S-016,CONF-042-S-016-PEACH-007,V-042-S-016,S-016,C-2026-PEACH,photos/PH-091-V-042-S-016.jpg,2026-07-07T09:45:00-05:00,"32.5778,-100.8539",REP-004,TAB-015,pricing,passed,
PH-092-V-042-S-016,CONF-042-S-016-PEACH-007,V-042-S-016,S-016,C-2026-PEACH,photos/PH-092-V-042-S-016.jpg,2026-07-07T08:00:00-05:00,"26.1635,-114.372",REP-002,TAB-006,pricing,passed,
PH-093-V-043-S-016,CONF-043-S-016-PEACH-008,V-043-S-016,S-016,C-2026-PEACH,photos/PH-093-V-043-S-016.jpg,2026-07-03T16:45:00-05:00,"42.7356,-102.1612",REP-002,TAB-001,planogram,passed,
PH-094-V-043-S-016,CONF-043-S-016-PEACH-008,V-043-S-016,S-016,C-2026-PEACH,photos/PH-094-V-043-S-016.jpg,2026-07-03T16:00:00-05:00,"27.8804,-103.7206",REP-014,TAB-007,posm_deployment,passed,
PH-095-V-043-S-016,CONF-043-S-016-PEACH-008,V-043-S-016,S-016,C-2026-PEACH,photos/PH-095-V-043-S-016.jpg,2026-07-03T15:45:00-05:00,"25.0643,-74.983",REP-007,TAB-006,store_front,passed,
PH-096-V-044-S-016,CONF-044-S-016-PEACH-009,V-044-S-016,S-016,C-2026-PEACH,photos/PH-096-V-044-S-016.jpg,2026-07-05T18:45:00-05:00,"46.287,-95.103",REP-006,TAB-006,pricing,passed,
PH-097-V-044-S-016,CONF-044-S-016-PEACH-009,V-044-S-016,S-016,C-2026-PEACH,photos/PH-097-V-044-S-016.jpg,2026-07-05T11:00:00-05:00,"40.5555,-96.2135",REP-003,TAB-012,shelf_display,passed,
PH-098-V-045-S-016,CONF-045-S-016-PEACH-010,V-045-S-016,S-016,C-2026-PEACH,photos/PH-098-V-045-S-016.jpg,2026-07-07T15:30:00-05:00,"28.0819,-87.1835",REP-015,TAB-020,shelf_display,passed,
PH-099-V-045-S-016,CONF-045-S-016-PEACH-010,V-045-S-016,S-016,C-2026-PEACH,photos/PH-099-V-045-S-016.jpg,2026-07-07T12:30:00-05:00,"32.1411,-87.4496",REP-004,TAB-019,store_front,passed,
PH-100-V-046-S-016,CONF-046-S-016-PEACH-011,V-046-S-016,S-016,C-2026-PEACH,photos/PH-100-V-046-S-016.jpg,2026-07-03T18:45:00-05:00,"40.6062,-71.4401",REP-006,TAB-009,shelf_display,passed,
PH-101-V-046-S-016,CONF-046-S-016-PEACH-011,V-046-S-016,S-016,C-2026-PEACH,photos/PH-101-V-046-S-016.jpg,2026-07-03T10:45:00-05:00,"25.1459,-91.265",REP-015,TAB-003,planogram,passed,
PH-102-V-046-S-016,CONF-046-S-016-PEACH-011,V-046-S-016,S-016,C-2026-PEACH,photos/PH-102-V-046-S-016.jpg,2026-07-03T14:30:00-05:00,"46.2395,-86.7118",REP-001,TAB-015,posm_deployment,passed,
PH-103-V-047-S-016,CONF-047-S-016-PEACH-012,V-047-S-016,S-016,C-2026-PEACH,photos/PH-103-V-047-S-016.jpg,2026-07-01T09:00:00-05:00,"28.5893,-115.5663",REP-007,TAB-003,store_front,passed,
PH-104-V-048-S-037,CONF-048-S-037-PEACH-001,V-048-S-037,S-037,C-2026-PEACH,photos/PH-104-V-048-S-037.jpg,2026-07-07T12:30:00-05:00,"35.9678,-91.0474",REP-012,TAB-014,pricing,passed,
PH-105-V-048-S-037,CONF-048-S-037-PEACH-001,V-048-S-037,S-037,C-2026-PEACH,photos/PH-105-V-048-S-037.jpg,2026-07-07T14:45:00-05:00,"26.775,-99.5909",REP-013,TAB-001,posm_deployment,passed,
PH-106-V-049-S-037,CONF-049-S-037-PEACH-002,V-049-S-037,S-037,C-2026-PEACH,photos/PH-106-V-049-S-037.jpg,2026-07-08T09:00:00-05:00,"30.3956,-70.2597",REP-006,TAB-013,planogram,passed,
PH-107-V-050-S-037,CONF-050-S-037-PEACH-003,V-050-S-037,S-037,C-2026-PEACH,photos/PH-107-V-050-S-037.jpg,2026-07-05T18:45:00-05:00,"35.6131,-99.0373",REP-012,TAB-015,shelf_display,passed,
PH-108-V-050-S-037,CONF-050-S-037-PEACH-003,V-050-S-037,S-037,C-2026-PEACH,photos/PH-108-V-050-S-037.jpg,2026-07-05T12:00:00-05:00,"38.5228,-96.1696",REP-002,TAB-011,posm_deployment,passed,
PH-109-V-050-S-037,CONF-050-S-037-PEACH-003,V-050-S-037,S-037,C-2026-PEACH,photos/PH-109-V-050-S-037.jpg,2026-07-05T10:15:00-05:00,"32.4618,-118.9494",REP-008,TAB-002,store_front,passed,
PH-110-V-050-S-037,CONF-050-S-037-PEACH-003,V-050-S-037,S-037,C-2026-PEACH,photos/PH-110-V-050-S-037.jpg,2026-07-05T10:00:00-05:00,"45.4976,-98.6887",REP-010,TAB-016,posm_deployment,passed,
PH-111-V-051-S-037,CONF-051-S-037-PEACH-004,V-051-S-037,S-037,C-2026-PEACH,photos/PH-111-V-051-S-037.jpg,2026-07-03T15:15:00-05:00,"46.8678,-103.2793",REP-001,TAB-011,shelf_display,passed,
PH-112-V-052-S-037,CONF-052-S-037-PEACH-005,V-052-S-037,S-037,C-2026-PEACH,photos/PH-112-V-052-S-037.jpg,2026-07-06T16:00:00-05:00,"38.7175,-72.453",REP-014,TAB-005,store_front,passed,
PH-113-V-052-S-037,CONF-052-S-037-PEACH-005,V-052-S-037,S-037,C-2026-PEACH,photos/PH-113-V-052-S-037.jpg,2026-07-06T14:00:00-05:00,"46.4947,-79.8457",REP-012,TAB-002,pricing,passed,
PH-114-V-052-S-037,CONF-052-S-037-PEACH-005,V-052-S-037,S-037,C-2026-PEACH,photos/PH-114-V-052-S-037.jpg,2026-07-06T09:45:00-05:00,"44.3713,-98.4085",REP-002,TAB-008,pricing,passed,
