allocation_id,campaign_id,sku,store_id,planned_quantity,planned_receipt_date,allocation_phase,allocation_method,holdback_pct,planner_owner
A-067-S-011-PEACH-007,C-2026-PEACH,PEACH-007,S-011,32,2026-06-29,initial,fair_share,0.09,David Park
A-068-S-011-PEACH-008,C-2026-PEACH,PEACH-008,S-011,36,2026-06-27,initial,door_index,0.11,David Park
A-069-S-011-PEACH-009,C-2026-PEACH,PEACH-009,S-011,40,2026-06-29,initial,door_index,0.12,David Park
A-070-S-011-PEACH-010,C-2026-PEACH,PEACH-010,S-011,45,2026-06-26,initial,door_index,0.08,David Park
A-071-S-011-PEACH-011,C-2026-PEACH,PEACH-011,S-011,54,2026-06-27,initial,size_curve,0.11,David Park
A-072-S-011-PEACH-012,C-2026-PEACH,PEACH-012,S-011,47,2026-06-26,initial,size_curve,0.1,David Park
A-073-S-021-PEACH-001,C-2026-PEACH,PEACH-001,S-021,180,2026-06-27,initial,fair_share,0.15,David Park
A-074-S-021-PEACH-002,C-2026-PEACH,PEACH-002,S-021,77,2026-06-27,initial,fair_share,0.11,David Park
A-075-S-021-PEACH-003,C-2026-PEACH,PEACH-003,S-021,56,2026-06-28,initial,manual_override,0.07,David Park
A-076-S-021-PEACH-004,C-2026-PEACH,PEACH-004,S-021,80,2026-06-26,initial,door_index,0.05,David Park
A-077-S-021-PEACH-005,C-2026-PEACH,PEACH-005,S-021,100,2026-06-29,initial,manual_override,0.08,David Park
A-078-S-021-PEACH-006,C-2026-PEACH,PEACH-006,S-021,49,2026-06-26,initial,manual_override,0.1,David Park
A-079-S-021-PEACH-007,C-2026-PEACH,PEACH-007,S-021,79,2026-06-26,replenishment,fair_share,0.12,David Park
A-080-S-021-PEACH-008,C-2026-PEACH,PEACH-008,S-021,73,2026-06-28,initial,manual_override,0.1,David Park
A-081-S-021-PEACH-009,C-2026-PEACH,PEACH-009,S-021,60,2026-06-28,initial,size_curve,0.1,David Park
A-082-S-021-PEACH-010,C-2026-PEACH,PEACH-010,S-021,83,2026-06-27,initial,door_index,0.15,David Park
A-083-S-021-PEACH-011,C-2026-PEACH,PEACH-011,S-021,57,2026-06-27,initial,size_curve,0.13,David Park
A-084-S-021-PEACH-012,C-2026-PEACH,PEACH-012,S-021,85,2026-06-28,initial,manual_override,0.08,David Park
A-085-S-035-PEACH-001,C-2026-PEACH,PEACH-001,S-035,200,2026-06-27,initial,manual_override,0.14,David Park
A-086-S-035-PEACH-002,C-2026-PEACH,PEACH-002,S-035,40,2026-06-27,chase,door_index,0.08,David Park
A-087-S-035-PEACH-003,C-2026-PEACH,PEACH-003,S-035,33,2026-06-29,initial,manual_override,0.12,David Park
A-088-S-035-PEACH-004,C-2026-PEACH,PEACH-004,S-035,45,2026-06-28,initial,size_curve,0.14,David Park
A-089-S-035-PEACH-005,C-2026-PEACH,PEACH-005,S-035,59,2026-06-27,initial,door_index,0.07,David Park
A-090-S-035-PEACH-006,C-2026-PEACH,PEACH-006,S-035,57,2026-06-28,initial,fair_share,0.06,David Park
A-091-S-035-PEACH-007,C-2026-PEACH,PEACH-007,S-035,36,2026-06-26,initial,door_index,0.05,David Park
A-092-S-035-PEACH-008,C-2026-PEACH,PEACH-008,S-035,50,2026-06-28,initial,manual_override,0.1,David Park
A-093-S-035-PEACH-009,C-2026-PEACH,PEACH-009,S-035,27,2026-06-27,initial,fair_share,0.14,David Park
A-094-S-035-PEACH-010,C-2026-PEACH,PEACH-010,S-035,20,2026-06-28,initial,fair_share,0.14,David Park
A-095-S-035-PEACH-011,C-2026-PEACH,PEACH-011,S-035,26,2026-06-26,replenishment,door_index,0.14,David Park
A-096-S-035-PEACH-012,C-2026-PEACH,PEACH-012,S-035,17,2026-06-26,initial,door_index,0.14,David Park
A-097-S-058-PEACH-001,C-2026-PEACH,PEACH-001,S-058,200,2026-06-29,initial,fair_share,0.14,David Park
A-098-S-058-PEACH-002,C-2026-PEACH,PEACH-002,S-058,36,2026-06-27,initial,manual_override,0.14,David Park
A-099-S-058-PEACH-003,C-2026-PEACH,PEACH-003,S-058,23,2026-06-26,initial,fair_share,0.08,David Park
A-100-S-058-PEACH-004,C-2026-PEACH,PEACH-004,S-058,44,2026-06-27,initial,fair_share,0.12,David Park
A-101-S-058-PEACH-005,C-2026-PEACH,PEACH-005,S-058,33,2026-06-28,initial,manual_override,0.13,David Park
A-102-S-058-PEACH-006,C-2026-PEACH,PEACH-006,S-058,47,2026-06-27,initial,fair_share,0.07,David Park
A-103-S-058-PEACH-007,C-2026-PEACH,PEACH-007,S-058,23,2026-06-26,initial,door_index,0.05,David Park
A-104-S-058-PEACH-008,C-2026-PEACH,PEACH-008,S-058,39,2026-06-28,initial,size_curve,0.15,David Park
A-105-S-058-PEACH-009,C-2026-PEACH,PEACH-009,S-058,34,2026-06-29,initial,size_curve,0.12,David Park
A-106-S-058-PEACH-010,C-2026-PEACH,PEACH-010,S-058,18,2026-06-29,initial,door_index,0.09,David Park
A-107-S-058-PEACH-011,C-2026-PEACH,PEACH-011,S-058,47,2026-06-27,initial,size_curve,0.09,David Park
A-108-S-058-PEACH-012,C-2026-PEACH,PEACH-012,S-058,29,2026-06-28,chase,manual_override,0.07,David Park
A-109-S-066-PEACH-001,C-2026-PEACH,PEACH-001,S-066,220,2026-06-27,initial,manual_override,0.13,David Park
A-110-S-066-PEACH-002,C-2026-PEACH,PEACH-002,S-066,91,2026-06-28,initial,fair_share,0.1,David Park
A-111-S-066-PEACH-003,C-2026-PEACH,PEACH-003,S-066,73,2026-06-27,initial,fair_share,0.06,David Park
A-112-S-066-PEACH-004,C-2026-PEACH,PEACH-004,S-066,75,2026-06-28,initial,door_index,0.07,David Park
A-113-S-066-PEACH-005,C-2026-PEACH,PEACH-005,S-066,94,2026-06-26,initial,door_index,0.12,David Park
A-114-S-066-PEACH-006,C-2026-PEACH,PEACH-006,S-066,71,2026-06-29,replenishment,manual_override,0.13,David Park
A-115-S-066-PEACH-007,C-2026-PEACH,PEACH-007,S-066,69,2026-06-28,initial,manual_override,0.11,David Park
A-116-S-066-PEACH-008,C-2026-PEACH,PEACH-008,S-066,75,2026-06-26,initial,size_curve,0.12,David Park
A-117-S-066-PEACH-009,C-2026-PEACH,PEACH-009,S-066,65,2026-06-27,replenishment,door_index,0.11,David Park
A-118-S-066-PEACH-010,C-2026-PEACH,PEACH-010,S-066,42,2026-06-26,initial,fair_share,0.1,David Park
A-119-S-066-PEACH-011,C-2026-PEACH,PEACH-011,S-066,43,2026-06-29,transfer,manual_override,0.05,David Park
A-120-S-066-PEACH-012,C-2026-PEACH,PEACH-012,S-066,66,2026-06-28,initial,manual_override,0.09,David Park
A-121-S-019-PEACH-001,C-2026-PEACH,PEACH-001,S-019,200,2026-06-26,replenishment,manual_override,0.09,David Park
A-122-S-019-PEACH-002,C-2026-PEACH,PEACH-002,S-019,83,2026-06-28,initial,size_curve,0.06,David Park
A-123-S-019-PEACH-003,C-2026-PEACH,PEACH-003,S-019,74,2026-06-26,initial,door_index,0.13,David Park
A-124-S-019-PEACH-004,C-2026-PEACH,PEACH-004,S-019,88,2026-06-29,transfer,manual_override,0.12,David Park
A-125-S-019-PEACH-005,C-2026-PEACH,PEACH-005,S-019,74,2026-06-26,initial,door_index,0.07,David Park
A-126-S-019-PEACH-006,C-2026-PEACH,PEACH-006,S-019,62,2026-06-28,initial,fair_share,0.05,David Park
A-127-S-019-PEACH-007,C-2026-PEACH,PEACH-007,S-019,82,2026-06-26,initial,fair_share,0.07,David Park
A-128-S-019-PEACH-008,C-2026-PEACH,PEACH-008,S-019,44,2026-06-29,initial,manual_override,0.11,David Park
A-129-S-019-PEACH-009,C-2026-PEACH,PEACH-009,S-019,85,2026-06-29,initial,fair_share,0.09,David Park
A-130-S-019-PEACH-010,C-2026-PEACH,PEACH-010,S-019,54,2026-06-28,initial,fair_share,0.06,David Park
A-131-S-019-PEACH-011,C-2026-PEACH,PEACH-011,S-019,58,2026-06-28,replenishment,size_curve,0.11,David Park
A-132-S-019-PEACH-012,C-2026-PEACH,PEACH-012,S-019,89,2026-06-27,initial,door_index,0.15,David Park
A-133-S-056-PEACH-001,C-2026-PEACH,PEACH-001,S-056,220,2026-06-28,initial,size_curve,0.06,David Park
A-134-S-056-PEACH-002,C-2026-PEACH,PEACH-002,S-056,100,2026-06-28,initial,manual_override,0.11,David Park
A-135-S-056-PEACH-003,C-2026-PEACH,PEACH-003,S-056,43,2026-06-27,chase,manual_override,0.13,David Park
A-136-S-056-PEACH-004,C-2026-PEACH,PEACH-004,S-056,60,2026-06-26,initial,size_curve,0.09,David Park
A-137-S-056-PEACH-005,C-2026-PEACH,PEACH-005,S-056,88,2026-06-26,initial,door_index,0.08,David Park
A-138-S-056-PEACH-006,C-2026-PEACH,PEACH-006,S-056,85,2026-06-28,replenishment,fair_share,0.11,David Park
A-139-S-056-PEACH-007,C-2026-PEACH,PEACH-007,S-056,66,2026-06-28,initial,size_curve,0.07,David Park
A-140-S-056-PEACH-008,C-2026-PEACH,PEACH-008,S-056,81,2026-06-29,chase,size_curve,0.06,David Park
A-141-S-056-PEACH-009,C-2026-PEACH,PEACH-009,S-056,86,2026-06-28,initial,manual_override,0.12,David Park
A-142-S-056-PEACH-010,C-2026-PEACH,PEACH-010,S-056,78,2026-06-29,replenishment,door_index,0.13,David Park
A-143-S-056-PEACH-011,C-2026-PEACH,PEACH-011,S-056,77,2026-06-28,initial,size_curve,0.08,David Park
A-144-S-056-PEACH-012,C-2026-PEACH,PEACH-012,S-056,98,2026-06-29,initial,door_index,0.15,David Park
A-145-S-012-PEACH-001,C-2026-PEACH,PEACH-001,S-012,180,2026-06-26,replenishment,door_index,0.09,David Park
A-146-S-012-PEACH-002,C-2026-PEACH,PEACH-002,S-012,30,2026-06-27,initial,manual_override,0.1,David Park
A-147-S-012-PEACH-003,C-2026-PEACH,PEACH-003,S-012,56,2026-06-27,initial,size_curve,0.1,David Park
A-148-S-012-PEACH-004,C-2026-PEACH,PEACH-004,S-012,46,2026-06-26,initial,manual_override,0.13,David Park
A-149-S-012-PEACH-005,C-2026-PEACH,PEACH-005,S-012,35,2026-06-28,initial,manual_override,0.05,David Park
A-150-S-012-PEACH-006,C-2026-PEACH,PEACH-006,S-012,29,2026-06-28,initial,manual_override,0.08,David Park
A-151-S-012-PEACH-007,C-2026-PEACH,PEACH-007,S-012,27,2026-06-27,initial,door_index,0.1,David Park
A-152-S-012-PEACH-008,C-2026-PEACH,PEACH-008,S-012,56,2026-06-27,initial,manual_override,0.15,David Park
A-153-S-012-PEACH-009,C-2026-PEACH,PEACH-009,S-012,56,2026-06-26,initial,size_curve,0.07,David Park
A-154-S-012-PEACH-010,C-2026-PEACH,PEACH-010,S-012,49,2026-06-26,initial,fair_share,0.1,David Park
A-155-S-012-PEACH-011,C-2026-PEACH,PEACH-011,S-012,19,2026-06-29,initial,manual_override,0.06,David Park
A-156-S-012-PEACH-012,C-2026-PEACH,PEACH-012,S-012,55,2026-06-28,initial,door_index,0.05,David Park
A-157-S-029-PEACH-001,C-2026-PEACH,PEACH-001,S-029,220,2026-06-26,initial,manual_override,0.12,David Park
A-158-S-029-PEACH-002,C-2026-PEACH,PEACH-002,S-029,41,2026-06-29,initial,manual_override,0.05,David Park
A-159-S-029-PEACH-003,C-2026-PEACH,PEACH-003,S-029,73,2026-06-27,initial,size_curve,0.05,David Park
A-160-S-029-PEACH-004,C-2026-PEACH,PEACH-004,S-029,92,2026-06-26,replenishment,door_index,0.06,David Park
A-161-S-029-PEACH-005,C-2026-PEACH,PEACH-005,S-029,46,2026-06-28,initial,size_curve,0.13,David Park
A-162-S-029-PEACH-006,C-2026-PEACH,PEACH-006,S-029,57,2026-06-26,initial,manual_override,0.1,David Park
A-163-S-029-PEACH-007,C-2026-PEACH,PEACH-007,S-029,55,2026-06-28,initial,fair_share,0.12,David Park
A-164-S-029-PEACH-008,C-2026-PEACH,PEACH-008,S-029,94,2026-06-29,initial,manual_override,0.09,David Park
A-165-S-029-PEACH-009,C-2026-PEACH,PEACH-009,S-029,70,2026-06-29,initial,door_index,0.06,David Park
A-166-S-029-PEACH-010,C-2026-PEACH,PEACH-010,S-029,94,2026-06-26,initial,size_curve,0.11,David Park
A-167-S-029-PEACH-011,C-2026-PEACH,PEACH-011,S-029,94,2026-06-29,replenishment,fair_share,0.07,David Park
A-168-S-029-PEACH-012,C-2026-PEACH,PEACH-012,S-029,97,2026-06-26,initial,fair_share,0.12,David Park
A-169-S-099-PEACH-001,C-2026-PEACH,PEACH-001,S-099,200,2026-06-29,initial,size_curve,0.05,David Park
A-170-S-099-PEACH-002,C-2026-PEACH,PEACH-002,S-099,53,2026-06-28,initial,manual_override,0.14,David Park
A-171-S-099-PEACH-003,C-2026-PEACH,PEACH-003,S-099,59,2026-06-28,initial,manual_override,0.12,David Park
A-172-S-099-PEACH-004,C-2026-PEACH,PEACH-004,S-099,74,2026-06-27,initial,door_index,0.13,David Park
A-173-S-099-PEACH-005,C-2026-PEACH,PEACH-005,S-099,84,2026-06-29,initial,size_curve,0.06,David Park
A-174-S-099-PEACH-006,C-2026-PEACH,PEACH-006,S-099,67,2026-06-28,replenishment,size_curve,0.11,David Park
A-175-S-099-PEACH-007,C-2026-PEACH,PEACH-007,S-099,79,2026-06-26,chase,size_curve,0.05,David Park
A-176-S-099-PEACH-008,C-2026-PEACH,PEACH-008,S-099,57,2026-06-26,initial,size_curve,0.11,David Park
A-177-S-099-PEACH-009,C-2026-PEACH,PEACH-009,S-099,64,2026-06-26,initial,manual_override,0.06,David Park
A-178-S-099-PEACH-010,C-2026-PEACH,PEACH-010,S-099,79,2026-06-27,initial,fair_share,0.06,David Park
A-179-S-099-PEACH-011,C-2026-PEACH,PEACH-011,S-099,49,2026-06-26,initial,door_index,0.12,David Park
A-180-S-099-PEACH-012,C-2026-PEACH,PEACH-012,S-099,60,2026-06-27,initial,fair_share,0.14,David Park
A-181-S-045-PEACH-001,C-2026-PEACH,PEACH-001,S-045,200,2026-06-27,initial,fair_share,0.06,David Park
A-182-S-045-PEACH-002,C-2026-PEACH,PEACH-002,S-045,51,2026-06-26,initial,manual_override,0.06,David Park
A-183-S-045-PEACH-003,C-2026-PEACH,PEACH-003,S-045,45,2026-06-27,initial,size_curve,0.14,David Park
A-184-S-045-PEACH-004,C-2026-PEACH,PEACH-004,S-045,40,2026-06-27,initial,fair_share,0.12,David Park
A-185-S-045-PEACH-005,C-2026-PEACH,PEACH-005,S-045,75,2026-06-28,initial,door_index,0.12,David Park
A-186-S-045-PEACH-006,C-2026-PEACH,PEACH-006,S-045,50,2026-06-28,initial,size_curve,0.1,David Park
A-187-S-045-PEACH-007,C-2026-PEACH,PEACH-007,S-045,44,2026-06-28,initial,manual_override,0.08,David Park
A-188-S-045-PEACH-008,C-2026-PEACH,PEACH-008,S-045,90,2026-06-29,initial,door_index,0.12,David Park
A-189-S-045-PEACH-009,C-2026-PEACH,PEACH-009,S-045,71,2026-06-28,initial,door_index,0.08,David Park
A-190-S-045-PEACH-010,C-2026-PEACH,PEACH-010,S-045,100,2026-06-26,initial,manual_override,0.13,David Park
A-191-S-045-PEACH-011,C-2026-PEACH,PEACH-011,S-045,61,2026-06-26,initial,door_index,0.08,David Park
A-192-S-045-PEACH-012,C-2026-PEACH,PEACH-012,S-045,78,2026-06-28,initial,door_index,0.15,David Park
A-193-S-004-PEACH-001,C-2026-PEACH,PEACH-001,S-004,200,2026-06-27,initial,manual_override,0.15,David Park
A-194-S-004-PEACH-002,C-2026-PEACH,PEACH-002,S-004,90,2026-06-28,initial,size_curve,0.13,David Park
A-195-S-004-PEACH-003,C-2026-PEACH,PEACH-003,S-004,65,2026-06-27,initial,door_index,0.11,David Park
A-196-S-004-PEACH-004,C-2026-PEACH,PEACH-004,S-004,74,2026-06-28,initial,fair_share,0.15,David Park
A-197-S-004-PEACH-005,C-2026-PEACH,PEACH-005,S-004,69,2026-06-28,initial,size_curve,0.13,David Park
A-198-S-004-PEACH-006,C-2026-PEACH,PEACH-006,S-004,44,2026-06-26,initial,door_index,0.11,David Park
A-199-S-004-PEACH-007,C-2026-PEACH,PEACH-007,S-004,55,2026-06-27,initial,manual_override,0.13,David Park
A-200-S-004-PEACH-008,C-2026-PEACH,PEACH-008,S-004,44,2026-06-26,transfer,manual_override,0.11,David Park
A-201-S-004-PEACH-009,C-2026-PEACH,PEACH-009,S-004,74,2026-06-26,initial,size_curve,0.12,David Park
A-202-S-004-PEACH-010,C-2026-PEACH,PEACH-010,S-004,91,2026-06-29,initial,door_index,0.12,David Park
A-203-S-004-PEACH-011,C-2026-PEACH,PEACH-011,S-004,62,2026-06-28,initial,fair_share,0.11,David Park
A-204-S-004-PEACH-012,C-2026-PEACH,PEACH-012,S-004,81,2026-06-26,chase,size_curve,0.15,David Park
A-205-S-054-PEACH-001,C-2026-PEACH,PEACH-001,S-054,200,2026-06-29,initial,size_curve,0.07,David Park
A-206-S-054-PEACH-002,C-2026-PEACH,PEACH-002,S-054,87,2026-06-28,initial,manual_override,0.1,David Park
A-207-S-054-PEACH-003,C-2026-PEACH,PEACH-003,S-054,83,2026-06-28,initial,fair_share,0.1,David Park
A-208-S-054-PEACH-004,C-2026-PEACH,PEACH-004,S-054,58,2026-06-26,chase,fair_share,0.06,David Park
A-209-S-054-PEACH-005,C-2026-PEACH,PEACH-005,S-054,100,2026-06-28,initial,size_curve,0.1,David Park
A-210-S-054-PEACH-006,C-2026-PEACH,PEACH-006,S-054,53,2026-06-26,initial,fair_share,0.09,David Park
A-211-S-054-PEACH-007,C-2026-PEACH,PEACH-007,S-054,84,2026-06-26,initial,size_curve,0.05,David Park
A-212-S-054-PEACH-008,C-2026-PEACH,PEACH-008,S-054,85,2026-06-29,initial,size_curve,0.11,David Park
A-213-S-054-PEACH-009,C-2026-PEACH,PEACH-009,S-054,83,2026-06-28,chase,door_index,0.1,David Park
A-214-S-054-PEACH-010,C-2026-PEACH,PEACH-010,S-054,75,2026-06-28,initial,manual_override,0.15,David Park
A-215-S-054-PEACH-011,C-2026-PEACH,PEACH-011,S-054,54,2026-06-26,initial,door_index,0.11,David Park
A-216-S-054-PEACH-012,C-2026-PEACH,PEACH-012,S-054,67,2026-06-26,initial,door_index,0.09,David Park
A-217-S-007-PEACH-001,C-2026-PEACH,PEACH-001,S-007,200,2026-06-26,initial,door_index,0.07,David Park
A-218-S-007-PEACH-002,C-2026-PEACH,PEACH-002,S-007,88,2026-06-29,initial,door_index,0.09,David Park
A-219-S-007-PEACH-003,C-2026-PEACH,PEACH-003,S-007,52,2026-06-26,initial,manual_override,0.1,David Park
A-220-S-007-PEACH-004,C-2026-PEACH,PEACH-004,S-007,80,2026-06-27,initial,manual_override,0.11,David Park
A-221-S-007-PEACH-005,C-2026-PEACH,PEACH-005,S-007,62,2026-06-27,replenishment,door_index,0.13,David Park
A-222-S-007-PEACH-006,C-2026-PEACH,PEACH-006,S-007,85,2026-06-27,replenishment,fair_share,0.12,David Park
A-223-S-007-PEACH-007,C-2026-PEACH,PEACH-007,S-007,60,2026-06-29,initial,fair_share,0.07,David Park
A-224-S-007-PEACH-008,C-2026-PEACH,PEACH-008,S-007,84,2026-06-28,initial,manual_override,0.11,David Park
A-225-S-007-PEACH-009,C-2026-PEACH,PEACH-009,S-007,76,2026-06-26,initial,manual_override,0.11,David Park
A-226-S-007-PEACH-010,C-2026-PEACH,PEACH-010,S-007,84,2026-06-28,initial,manual_override,0.08,David Park
A-227-S-007-PEACH-011,C-2026-PEACH,PEACH-011,S-007,51,2026-06-27,replenishment,fair_share,0.14,David Park
