confirmation_id,allocation_id,shipment_id,campaign_id,store_id,sku,received_quantity,received_date,receipt_status,receiving_exception_type,receiving_owner,visit_id,visit_date,visit_timestamp,visit_status,gps_coordinates,checklist_completion_pct,planogram_compliance,pricing_accuracy,on_shelf_availability_pct,training_completion_flag,audit_level,audit_status,compliance_score,audit_comments,exception_flag,non_completion_reason,campaign_store_status,confirmation_timestamp
CONF-011-S-014-PEACH-011,A-011-S-014-PEACH-011,SH-011-S-014-PEACH-011,C-2026-PEACH,S-014,PEACH-011,78,2026-06-29,accepted,none,Tom Harris,V-011-S-014,2026-07-05,2026-07-05T12:30:00-05:00,completed,"42.5028,-100.2547",0.98,True,True,0.97,True,L1,pending,72.0,,False,,completed,2026-07-05T14:00:00-05:00
CONF-012-S-014-PEACH-012,A-012-S-014-PEACH-012,SH-012-S-014-PEACH-012,C-2026-PEACH,S-014,PEACH-012,82,2026-06-28,accepted,none,Sofia Reyes,V-012-S-014,2026-07-02,2026-07-02T14:30:00-05:00,completed,"35.1665,-81.5437",0.93,True,True,0.95,True,L1,pending,63.8,,False,,completed,2026-07-02T17:15:00-05:00
CONF-013-S-092-PEACH-001,A-013-S-092-PEACH-001,SH-013-S-092-PEACH-001,C-2026-PEACH,S-092,PEACH-001,198,2026-06-29,accepted,none,Jess Brooks,V-013-S-092,2026-07-01,2026-07-01T14:15:00-04:00,completed,"30.1804,-88.6393",0.87,True,False,0.89,True,L1,approved,74.5,,False,,completed,2026-07-01T16:00:00-04:00
CONF-014-S-092-PEACH-002,A-014-S-092-PEACH-002,SH-014-S-092-PEACH-002,C-2026-PEACH,S-092,PEACH-002,34,2026-07-01,partial,shortage,Ravi Kumar,V-014-S-092,2026-07-01,2026-07-01T10:30:00-04:00,completed,"28.3002,-114.8104",0.85,True,True,0.96,True,L1,rejected,58.2,Significant shortage in received quantity.,True,,completed,2026-07-01T12:00:00-04:00
CONF-015-S-092-PEACH-003,A-015-S-092-PEACH-003,SH-015-S-092-PEACH-003,C-2026-PEACH,S-092,PEACH-003,14,2026-06-28,partial,shortage,Rachel Green,V-015-S-092,2026-07-07,2026-07-07T17:45:00-04:00,completed,"40.7063,-89.3696",0.87,True,True,0.98,True,L1,approved,87.8,Minor shortage noted during receiving.,True,,completed,2026-07-07T20:15:00-04:00
CONF-016-S-092-PEACH-004,A-016-S-092-PEACH-004,SH-016-S-092-PEACH-004,C-2026-PEACH,S-092,PEACH-004,45,2026-06-27,accepted,none,Kevin Liu,V-016-S-092,2026-07-03,2026-07-03T08:45:00-04:00,completed,"25.9788,-99.4814",0.98,True,True,0.83,True,L1,approved,94.7,,False,,completed,2026-07-03T10:15:00-04:00
CONF-017-S-092-PEACH-005,A-017-S-092-PEACH-005,SH-017-S-092-PEACH-005,C-2026-PEACH,S-092,PEACH-005,16,2026-06-28,accepted,none,Mark Thompson,V-017-S-092,2026-07-06,2026-07-06T13:45:00-04:00,completed,"30.6582,-84.3705",0.91,True,True,0.96,True,L1,approved,92.2,,False,,completed,2026-07-06T14:15:00-04:00
CONF-018-S-092-PEACH-006,A-018-S-092-PEACH-006,SH-018-S-092-PEACH-006,C-2026-PEACH,S-092,PEACH-006,35,2026-06-28,accepted,none,Rachel Green,V-018-S-092,2026-07-02,2026-07-02T15:30:00-04:00,completed,"29.5864,-103.1158",0.98,True,True,0.89,True,L1,approved,85.9,,False,,completed,2026-07-02T18:00:00-04:00
CONF-019-S-092-PEACH-007,A-019-S-092-PEACH-007,SH-019-S-092-PEACH-007,C-2026-PEACH,S-092,PEACH-007,24,2026-06-28,accepted,none,Tom Harris,V-019-S-092,2026-07-03,2026-07-03T14:15:00-04:00,completed,"32.2793,-107.7151",0.95,True,True,0.92,True,L1,approved,71.0,,False,,completed,2026-07-03T15:45:00-04:00
CONF-020-S-092-PEACH-008,A-020-S-092-PEACH-008,SH-020-S-092-PEACH-008,C-2026-PEACH,S-092,PEACH-008,46,2026-06-28,partial,overage,Jess Brooks,V-020-S-092,2026-07-01,2026-07-01T09:30:00-04:00,completed,"42.1024,-72.1022",0.86,False,True,0.86,True,L1,approved,78.5,Minor overage noted during receiving.,True,,completed,2026-07-01T11:15:00-04:00
CONF-021-S-092-PEACH-009,A-021-S-092-PEACH-009,SH-021-S-092-PEACH-009,C-2026-PEACH,S-092,PEACH-009,51,2026-06-30,accepted,none,Kevin Liu,V-021-S-092,2026-07-02,2026-07-02T17:45:00-04:00,completed,"41.0968,-105.9383",0.97,True,True,0.99,True,L1,pending,82.0,,False,,completed,2026-07-02T18:45:00-04:00
CONF-022-S-092-PEACH-010,A-022-S-092-PEACH-010,SH-022-S-092-PEACH-010,C-2026-PEACH,S-092,PEACH-010,34,2026-06-29,accepted,none,Ben Carter,V-022-S-092,2026-07-14,2026-07-14T17:15:00-04:00,in_progress,"47.3168,-72.6698",0.66,True,True,0.75,True,L1,approved,74.2,,True,Store did not begin setup; staff absence.,not_started,2026-07-14T20:00:00-04:00
CONF-023-S-092-PEACH-011,A-023-S-092-PEACH-011,SH-023-S-092-PEACH-011,C-2026-PEACH,S-092,PEACH-011,40,2026-06-28,accepted,none,Sofia Reyes,V-023-S-092,2026-07-02,2026-07-02T17:45:00-04:00,completed,"47.8091,-101.7392",0.85,True,True,0.98,False,L1,approved,88.2,,False,,completed,2026-07-02T17:45:00-04:00
CONF-024-S-092-PEACH-012,A-024-S-092-PEACH-012,SH-024-S-092-PEACH-012,C-2026-PEACH,S-092,PEACH-012,39,2026-06-29,accepted,none,Amy Davis,V-024-S-092,2026-07-05,2026-07-05T15:00:00-04:00,completed,"28.0049,-71.0876",0.92,True,False,0.88,True,L1,pending,76.8,,False,,completed,2026-07-05T17:00:00-04:00
CONF-025-S-067-PEACH-001,A-025-S-067-PEACH-001,SH-025-S-067-PEACH-001,C-2026-PEACH,S-067,PEACH-001,213,2026-06-27,accepted,none,Rachel Green,V-025-S-067,2026-07-07,2026-07-07T13:15:00-05:00,completed,"37.7048,-95.5585",0.85,True,True,0.82,True,L1,approved,73.2,,False,,completed,2026-07-07T15:30:00-05:00
CONF-026-S-067-PEACH-002,A-026-S-067-PEACH-002,SH-026-S-067-PEACH-002,C-2026-PEACH,S-067,PEACH-002,38,2026-06-28,partial,damage,Ravi Kumar,V-026-S-067,2026-07-03,2026-07-03T11:00:00-05:00,completed,"41.6315,-83.1748",0.87,True,True,0.92,True,L3,approved,88.6,Minor damage noted during receiving.,True,,completed,2026-07-03T11:00:00-05:00
CONF-027-S-067-PEACH-003,A-027-S-067-PEACH-003,SH-027-S-067-PEACH-003,C-2026-PEACH,S-067,PEACH-003,80,2026-06-27,accepted,none,Rachel Green,V-027-S-067,2026-07-02,2026-07-02T09:00:00-05:00,completed,"43.2066,-108.3462",0.81,False,True,0.91,True,L1,approved,87.0,,False,,completed,2026-07-02T09:45:00-05:00
CONF-028-S-067-PEACH-004,A-028-S-067-PEACH-004,SH-028-S-067-PEACH-004,C-2026-PEACH,S-067,PEACH-004,79,2026-06-27,accepted,none,Ben Carter,V-028-S-067,2026-07-01,2026-07-01T10:00:00-05:00,completed,"47.4064,-106.8369",0.98,True,True,0.82,True,L1,approved,91.2,,False,,completed,2026-07-01T10:15:00-05:00
CONF-029-S-067-PEACH-005,A-029-S-067-PEACH-005,SH-029-S-067-PEACH-005,C-2026-PEACH,S-067,PEACH-005,38,2026-06-30,accepted,none,Lisa Wong,V-029-S-067,2026-07-07,2026-07-07T12:15:00-05:00,completed,"43.9628,-83.2278",0.91,True,True,0.85,True,L1,pending,68.6,,False,,completed,2026-07-07T15:30:00-05:00
CONF-030-S-067-PEACH-006,A-030-S-067-PEACH-006,SH-030-S-067-PEACH-006,C-2026-PEACH,S-067,PEACH-006,55,2026-06-28,accepted,none,Ben Carter,V-030-S-067,2026-07-08,2026-07-08T09:30:00-05:00,completed,"38.0916,-83.6426",0.86,True,True,0.87,True,L1,approved,90.9,,False,,completed,2026-07-08T11:00:00-05:00
CONF-031-S-067-PEACH-007,A-031-S-067-PEACH-007,SH-031-S-067-PEACH-007,C-2026-PEACH,S-067,PEACH-007,53,2026-06-27,partial,shortage,Amy Davis,V-031-S-067,2026-07-08,2026-07-08T14:45:00-05:00,completed,"28.5118,-83.107",0.88,True,True,0.96,True,L2,rejected,50.6,Significant shortage in received quantity.,True,,completed,2026-07-08T17:45:00-05:00
CONF-032-S-067-PEACH-008,A-032-S-067-PEACH-008,SH-032-S-067-PEACH-008,C-2026-PEACH,S-067,PEACH-008,54,2026-06-26,accepted,none,Amy Davis,V-032-S-067,2026-07-03,2026-07-03T09:00:00-05:00,completed,"28.4477,-103.1342",0.8,True,True,0.99,True,L1,approved,90.3,,False,,completed,2026-07-03T12:45:00-05:00
CONF-033-S-067-PEACH-009,A-033-S-067-PEACH-009,SH-033-S-067-PEACH-009,C-2026-PEACH,S-067,PEACH-009,67,2026-06-29,accepted,none,Ravi Kumar,V-033-S-067,2026-07-01,2026-07-01T09:00:00-05:00,completed,"38.9798,-112.9261",0.9,True,True,0.9,True,L1,approved,78.7,,False,,completed,2026-07-01T11:45:00-05:00
CONF-034-S-067-PEACH-010,A-034-S-067-PEACH-010,SH-034-S-067-PEACH-010,C-2026-PEACH,S-067,PEACH-010,90,2026-06-27,accepted,none,Sofia Reyes,V-034-S-067,2026-07-05,2026-07-05T13:15:00-05:00,completed,"26.4519,-97.6461",0.88,True,True,0.85,True,L1,approved,97.2,,False,,completed,2026-07-05T15:45:00-05:00
CONF-035-S-067-PEACH-011,A-035-S-067-PEACH-011,SH-035-S-067-PEACH-011,C-2026-PEACH,S-067,PEACH-011,84,2026-06-29,accepted,none,Sofia Reyes,V-035-S-067,2026-07-04,2026-07-04T13:15:00-05:00,completed,"36.2375,-96.5124",0.8,True,True,0.95,True,L1,approved,86.9,,False,,completed,2026-07-04T14:15:00-05:00
CONF-036-S-067-PEACH-012,A-036-S-067-PEACH-012,SH-036-S-067-PEACH-012,C-2026-PEACH,S-067,PEACH-012,86,2026-06-30,accepted,none,Jess Brooks,V-036-S-067,2026-07-05,2026-07-05T10:30:00-05:00,completed,"30.6715,-88.3465",0.87,True,True,0.83,True,L1,approved,86.9,,False,,completed,2026-07-05T10:45:00-05:00
CONF-037-S-016-PEACH-001,A-037-S-016-PEACH-001,SH-037-S-016-PEACH-001,C-2026-PEACH,S-016,PEACH-001,211,2026-06-29,accepted,none,Kevin Liu,V-037-S-016,2026-07-02,2026-07-02T08:15:00-05:00,completed,"43.1863,-98.8504",0.96,False,True,0.83,False,L1,approved,72.2,,False,,completed,2026-07-02T10:15:00-05:00
CONF-038-S-016-PEACH-002,A-038-S-016-PEACH-002,SH-038-S-016-PEACH-002,C-2026-PEACH,S-016,PEACH-002,51,2026-06-28,accepted,none,Kevin Liu,V-038-S-016,2026-07-07,2026-07-07T10:45:00-05:00,completed,"46.5488,-97.2028",0.84,True,True,0.92,True,L1,pending,68.2,,False,,completed,2026-07-07T12:00:00-05:00
CONF-039-S-016-PEACH-003,A-039-S-016-PEACH-003,SH-039-S-016-PEACH-003,C-2026-PEACH,S-016,PEACH-003,69,2026-06-30,accepted,none,Tom Harris,V-039-S-016,2026-07-01,2026-07-01T14:30:00-05:00,completed,"32.512,-78.1963",0.81,True,True,0.91,True,L1,approved,73.7,,False,,completed,2026-07-01T17:15:00-05:00
CONF-040-S-016-PEACH-004,A-040-S-016-PEACH-004,SH-040-S-016-PEACH-004,C-2026-PEACH,S-016,PEACH-004,64,2026-06-28,accepted,none,Ben Carter,V-040-S-016,2026-07-03,2026-07-03T11:00:00-05:00,completed,"32.7776,-99.3679",0.95,True,True,0.9,True,L1,approved,93.0,,False,,completed,2026-07-03T13:30:00-05:00
CONF-041-S-016-PEACH-005,A-041-S-016-PEACH-005,SH-041-S-016-PEACH-005,C-2026-PEACH,S-016,PEACH-005,41,2026-06-28,accepted,substitution,Amy Davis,V-041-S-016,2026-07-05,2026-07-05T11:00:00-05:00,completed,"39.7868,-85.1356",0.9,False,True,0.99,True,L1,approved,87.8,Minor substitution noted during receiving.,True,,completed,2026-07-05T11:00:00-05:00
CONF-042-S-016-PEACH-007,A-043-S-016-PEACH-007,SH-043-S-016-PEACH-007,C-2026-PEACH,S-016,PEACH-007,42,2026-06-28,accepted,none,Ravi Kumar,V-042-S-016,2026-07-07,2026-07-07T09:00:00-05:00,completed,"29.8032,-90.863",0.8,True,True,0.87,True,L1,approved,85.0,,False,,completed,2026-07-07T10:00:00-05:00
CONF-043-S-016-PEACH-008,A-044-S-016-PEACH-008,SH-044-S-016-PEACH-008,C-2026-PEACH,S-016,PEACH-008,72,2026-06-28,accepted,none,Lisa Wong,V-043-S-016,2026-07-03,2026-07-03T17:30:00-05:00,completed,"32.5223,-106.9829",0.82,True,False,0.92,True,L1,approved,75.2,,False,,completed,2026-07-03T19:15:00-05:00
CONF-044-S-016-PEACH-009,A-045-S-016-PEACH-009,SH-045-S-016-PEACH-009,C-2026-PEACH,S-016,PEACH-009,79,2026-06-30,partial,damage,Kevin Liu,V-044-S-016,2026-07-05,2026-07-05T11:30:00-05:00,completed,"26.2505,-88.6941",0.91,True,True,0.9,True,L1,rejected,49.7,Damaged units found during receiving check.,True,,completed,2026-07-05T13:45:00-05:00
CONF-045-S-016-PEACH-010,A-046-S-016-PEACH-010,SH-046-S-016-PEACH-010,C-2026-PEACH,S-016,PEACH-010,50,2026-06-30,accepted,none,Lisa Wong,V-045-S-016,2026-07-07,2026-07-07T10:45:00-05:00,completed,"43.2851,-86.6488",0.99,False,True,0.8,False,L1,pending,66.9,,False,,completed,2026-07-07T13:30:00-05:00
CONF-046-S-016-PEACH-011,A-047-S-016-PEACH-011,SH-047-S-016-PEACH-011,C-2026-PEACH,S-016,PEACH-011,56,2026-06-29,accepted,none,Ben Carter,V-046-S-016,2026-07-03,2026-07-03T08:30:00-05:00,completed,"47.3316,-82.9077",0.87,True,True,0.86,False,L1,approved,82.8,,False,,completed,2026-07-03T09:15:00-05:00
CONF-047-S-016-PEACH-012,A-048-S-016-PEACH-012,SH-048-S-016-PEACH-012,C-2026-PEACH,S-016,PEACH-012,68,2026-06-29,accepted,none,Amy Davis,V-047-S-016,2026-07-01,2026-07-01T10:00:00-05:00,completed,"41.6706,-97.2378",0.98,True,True,0.8,True,L1,approved,76.0,,False,,completed,2026-07-01T10:00:00-05:00
CONF-048-S-037-PEACH-001,A-049-S-037-PEACH-001,SH-049-S-037-PEACH-001,C-2026-PEACH,S-037,PEACH-001,173,2026-06-29,partial,shortage,Ravi Kumar,V-048-S-037,2026-07-07,2026-07-07T08:00:00-05:00,completed,"41.3277,-84.0565",0.84,True,True,0.99,True,L1,approved,71.2,Minor shortage noted during receiving.,True,,completed,2026-07-07T08:30:00-05:00
CONF-049-S-037-PEACH-002,A-050-S-037-PEACH-002,SH-050-S-037-PEACH-002,C-2026-PEACH,S-037,PEACH-002,55,2026-06-27,accepted,none,Rachel Green,V-049-S-037,2026-07-08,2026-07-08T08:30:00-05:00,completed,"38.7551,-97.1871",0.89,True,True,0.87,True,L1,approved,79.7,,False,,completed,2026-07-08T10:00:00-05:00
CONF-050-S-037-PEACH-003,A-051-S-037-PEACH-003,SH-051-S-037-PEACH-003,C-2026-PEACH,S-037,PEACH-003,14,2026-06-26,accepted,none,Rachel Green,V-050-S-037,2026-07-05,2026-07-05T15:45:00-05:00,completed,"26.9882,-107.34",0.83,True,True,0.89,True,L1,approved,79.6,,False,,completed,2026-07-05T17:45:00-05:00
CONF-051-S-037-PEACH-004,A-052-S-037-PEACH-004,SH-052-S-037-PEACH-004,C-2026-PEACH,S-037,PEACH-004,31,2026-06-28,accepted,none,Mark Thompson,V-051-S-037,2026-07-03,2026-07-03T10:15:00-05:00,completed,"43.9392,-75.9638",1.0,True,True,0.92,True,L1,approved,90.7,,False,,completed,2026-07-03T13:00:00-05:00
CONF-052-S-037-PEACH-005,A-053-S-037-PEACH-005,SH-053-S-037-PEACH-005,C-2026-PEACH,S-037,PEACH-005,18,2026-07-01,accepted,none,Jess Brooks,V-052-S-037,2026-07-06,2026-07-06T14:45:00-05:00,completed,"42.246,-85.61",1.0,True,True,0.83,True,L2,approved,95.0,,False,,completed,2026-07-06T15:30:00-05:00
CONF-053-S-037-PEACH-006,A-054-S-037-PEACH-006,SH-054-S-037-PEACH-006,C-2026-PEACH,S-037,PEACH-006,25,2026-06-27,accepted,none,Mark Thompson,V-053-S-037,2026-07-05,2026-07-05T14:30:00-05:00,completed,"46.8857,-110.4497",0.8,True,True,0.97,True,L1,approved,73.3,,False,,completed,2026-07-05T15:00:00-05:00
CONF-054-S-037-PEACH-007,A-055-S-037-PEACH-007,SH-055-S-037-PEACH-007,C-2026-PEACH,S-037,PEACH-007,29,2026-06-27,partial,shortage,Mark Thompson,V-054-S-037,2026-07-06,2026-07-06T12:45:00-05:00,completed,"40.6197,-71.1493",0.9,True,True,0.89,True,L2,approved,86.4,Minor shortage noted during receiving.,True,,completed,2026-07-06T15:00:00-05:00
CONF-055-S-037-PEACH-008,A-056-S-037-PEACH-008,SH-056-S-037-PEACH-008,C-2026-PEACH,S-037,PEACH-008,46,2026-06-29,accepted,none,Sofia Reyes,V-055-S-037,2026-07-07,2026-07-07T15:00:00-05:00,completed,"37.5059,-115.8518",0.94,True,True,0.89,True,L1,approved,71.0,,False,,completed,2026-07-07T18:30:00-05:00
CONF-056-S-037-PEACH-009,A-057-S-037-PEACH-009,SH-057-S-037-PEACH-009,C-2026-PEACH,S-037,PEACH-009,39,2026-06-28,accepted,none,Rachel Green,V-056-S-037,2026-07-07,2026-07-07T08:15:00-05:00,completed,"26.5893,-110.9383",0.85,True,True,0.91,True,L1,approved,84.5,,False,,completed,2026-07-07T08:45:00-05:00
CONF-057-S-037-PEACH-010,A-058-S-037-PEACH-010,SH-058-S-037-PEACH-010,C-2026-PEACH,S-037,PEACH-010,34,2026-06-28,accepted,none,Ben Carter,V-057-S-037,2026-07-05,2026-07-05T13:45:00-05:00,completed,"47.277,-116.159",0.9,True,True,0.95,True,L1,approved,78.5,,False,,completed,2026-07-05T13:15:00-05:00
CONF-058-S-037-PEACH-011,A-059-S-037-PEACH-011,SH-059-S-037-PEACH-011,C-2026-PEACH,S-037,PEACH-011,49,2026-06-29,accepted,none,Jess Brooks,V-058-S-037,2026-07-04,2026-07-04T15:00:00-05:00,completed,"28.2017,-82.9822",0.99,True,True,0.87,True,L1,approved,89.4,,False,,completed,2026-07-04T15:15:00-05:00
CONF-059-S-037-PEACH-012,A-060-S-037-PEACH-012,SH-060-S-037-PEACH-012,C-2026-PEACH,S-037,PEACH-012,42,2026-06-26,accepted,none,Jess Brooks,V-059-S-037,2026-07-07,2026-07-07T09:00:00-05:00,completed,"35.9164,-94.6443",0.85,True,True,0.8,True,L1,approved,88.5,,False,,completed,2026-07-07T11:30:00-05:00
CONF-060-S-011-PEACH-001,A-061-S-011-PEACH-001,SH-061-S-011-PEACH-001,C-2026-PEACH,S-011,PEACH-001,174,2026-06-28,accepted,none,Sofia Reyes,V-060-S-011,2026-07-03,2026-07-03T14:00:00-05:00,completed,"29.6563,-104.9828",0.95,True,True,0.9,False,L1,approved,84.9,,False,,completed,2026-07-03T14:15:00-05:00
CONF-061-S-011-PEACH-002,A-062-S-011-PEACH-002,SH-062-S-011-PEACH-002,C-2026-PEACH,S-011,PEACH-002,34,2026-06-29,accepted,none,Kevin Liu,V-061-S-011,2026-07-08,2026-07-08T11:45:00-05:00,completed,"29.9248,-111.3791",0.91,True,True,0.81,True,L2,approved,91.3,,False,,completed,2026-07-08T14:45:00-05:00
CONF-062-S-011-PEACH-003,A-063-S-011-PEACH-003,SH-063-S-011-PEACH-003,C-2026-PEACH,S-011,PEACH-003,54,2026-06-28,accepted,none,Ben Carter,V-062-S-011,2026-07-04,2026-07-04T14:30:00-05:00,completed,"34.347,-82.3815",0.81,True,True,0.84,True,L1,approved,93.4,,False,,completed,2026-07-04T15:30:00-05:00
CONF-063-S-011-PEACH-004,A-064-S-011-PEACH-004,SH-064-S-011-PEACH-004,C-2026-PEACH,S-011,PEACH-004,40,2026-06-30,accepted,none,Kevin Liu,V-063-S-011,2026-07-07,2026-07-07T10:15:00-05:00,completed,"42.7813,-98.3629",0.81,False,True,0.98,True,L1,approved,81.0,,False,,completed,2026-07-07T12:45:00-05:00
CONF-064-S-011-PEACH-005,A-065-S-011-PEACH-005,SH-065-S-011-PEACH-005,C-2026-PEACH,S-011,PEACH-005,35,2026-06-30,accepted,none,Jess Brooks,V-064-S-011,2026-07-06,2026-07-06T15:45:00-05:00,completed,"35.7945,-115.4506",0.9,True,True,0.93,True,L1,approved,78.1,,False,,completed,2026-07-06T18:15:00-05:00
CONF-065-S-011-PEACH-006,A-066-S-011-PEACH-006,SH-066-S-011-PEACH-006,C-2026-PEACH,S-011,PEACH-006,29,2026-07-01,accepted,none,Sofia Reyes,V-065-S-011,2026-07-04,2026-07-04T11:30:00-05:00,completed,"43.9919,-94.1164",0.88,True,True,0.93,True,L2,approved,91.6,,False,,completed,2026-07-04T13:15:00-05:00
CONF-066-S-011-PEACH-007,A-067-S-011-PEACH-007,SH-067-S-011-PEACH-007,C-2026-PEACH,S-011,PEACH-007,30,2026-06-29,accepted,none,Ravi Kumar,V-066-S-011,2026-07-06,2026-07-06T15:15:00-05:00,completed,"39.6877,-109.7133",0.96,True,True,0.93,True,L1,approved,77.6,,False,,completed,2026-07-06T15:30:00-05:00
CONF-067-S-011-PEACH-008,A-068-S-011-PEACH-008,SH-068-S-011-PEACH-008,C-2026-PEACH,S-011,PEACH-008,32,2026-06-28,accepted,none,Amy Davis,V-067-S-011,2026-07-02,2026-07-02T09:45:00-05:00,completed,"26.5306,-79.4004",0.85,True,True,0.91,True,L1,approved,77.4,,False,,completed,2026-07-02T12:00:00-05:00
CONF-068-S-011-PEACH-009,A-069-S-011-PEACH-009,SH-069-S-011-PEACH-009,C-2026-PEACH,S-011,PEACH-009,38,2026-06-30,accepted,none,Amy Davis,V-068-S-011,2026-07-07,2026-07-07T13:00:00-05:00,completed,"27.8271,-81.9938",1.0,False,True,0.82,True,L1,pending,78.6,,False,,completed,2026-07-07T14:15:00-05:00
CONF-069-S-011-PEACH-010,A-070-S-011-PEACH-010,SH-070-S-011-PEACH-010,C-2026-PEACH,S-011,PEACH-010,40,2026-06-26,accepted,none,Rachel Green,V-069-S-011,2026-07-01,2026-07-01T13:30:00-05:00,completed,"30.5356,-108.9781",0.92,True,True,0.87,True,L1,approved,91.3,,False,,completed,2026-07-01T15:45:00-05:00
CONF-070-S-011-PEACH-011,A-071-S-011-PEACH-011,SH-071-S-011-PEACH-011,C-2026-PEACH,S-011,PEACH-011,51,2026-06-27,accepted,none,Ravi Kumar,V-070-S-011,2026-07-01,2026-07-01T09:30:00-05:00,completed,"27.2007,-77.7309",0.84,True,True,0.83,True,L1,approved,78.6,,False,,completed,2026-07-01T12:00:00-05:00
CONF-071-S-011-PEACH-012,A-072-S-011-PEACH-012,SH-072-S-011-PEACH-012,C-2026-PEACH,S-011,PEACH-012,45,2026-06-26,accepted,none,Mark Thompson,V-071-S-011,2026-07-04,2026-07-04T09:45:00-05:00,completed,"28.4589,-75.5941",0.97,True,False,0.95,True,L1,approved,94.5,,False,,completed,2026-07-04T12:45:00-05:00
